data_dia,num_internacoes
2013-12-06,391
2013-12-07,313
2013-12-08,261
2013-12-09,337
2013-12-10,394
2013-12-11,290
2013-12-12,376
2013-12-13,302
2013-12-14,244
2013-12-15,374
2013-12-16,413
2013-12-17,241
2013-12-18,331
2013-12-19,317
2013-12-20,332
2013-12-21,331
2013-12-22,307
2013-12-23,258
2013-12-24,201
2013-12-25,179
2013-12-26,570
2013-12-27,417
2013-12-28,257
2013-12-29,355
2013-12-30,407
2013-12-31,220
2014-01-01,308
2014-01-02,418
2014-01-03,506
2014-01-04,297
2014-01-05,275
2014-01-06,374
2014-01-07,484
2014-01-08,473
2014-01-09,429
2014-01-10,451
2014-01-11,263
2014-01-12,330
2014-01-13,385
2014-01-14,451
2014-01-15,506
2014-01-16,242
2014-01-17,352
2014-01-18,264
2014-01-19,165
2014-01-20,429
2014-01-21,341
2014-01-22,440
2014-01-23,308
2014-01-24,253
2014-01-25,253
2014-01-26,275
2014-01-27,286
2014-01-28,264
2014-01-29,286
2014-01-30,363
2014-01-31,187
2014-02-01,209
2014-02-02,220
2014-02-03,319
2014-02-04,319
2014-02-05,242
2014-02-06,198
2014-02-07,165
2014-02-08,231
2014-02-09,253
2014-02-10,275
2014-02-11,308
2014-02-12,341
2014-02-13,330
2014-02-14,286
2014-02-15,198
2014-02-16,176
2014-02-17,231
2014-02-18,385
2014-02-19,407
2014-02-20,187
2014-02-21,209
2014-02-22,99
2014-02-23,121
2014-02-24,231
2014-02-25,385
2014-02-26,374
2014-02-27,385
2014-02-28,363
2014-03-01,154
2014-03-02,165
2014-03-03,165
2014-03-04,374
2014-03-05,363
2014-03-06,363
2014-03-07,264
2014-03-08,231
2014-03-09,198
2014-03-10,264
2014-03-11,407
2014-03-12,319
2014-03-13,198
2014-03-14,297
2014-03-15,242
2014-03-16,132
2014-03-17,286
2014-03-18,396
2014-03-19,429
2014-03-20,275
2014-03-21,253
2014-03-22,165
2014-03-23,209
2014-03-24,462
2014-03-25,528
2014-03-26,473
2014-03-27,363
2014-03-28,275
2014-03-29,363
2014-03-30,209
2014-03-31,429
2014-04-01,484
2014-04-02,517
2014-04-03,451
2014-04-04,330
2014-04-05,308
2014-04-06,275
2014-04-07,440
2014-04-08,462
2014-04-09,429
2014-04-10,396
2014-04-11,440
2014-04-12,429
2014-04-13,418
2014-04-14,418
2014-04-15,473
2014-04-16,550
2014-04-17,495
2014-04-18,407
2014-04-19,330
2014-04-20,253
2014-04-21,484
2014-04-22,572
2014-04-23,418
2014-04-24,627
2014-04-25,418
2014-04-26,352
2014-04-27,363
2014-04-28,726
2014-04-29,352
2014-04-30,473
2014-05-01,341
2014-05-02,506
2014-05-03,396
2014-05-04,264
2014-05-05,539
2014-05-06,671
2014-05-07,550
2014-05-08,726
2014-05-09,528
2014-05-10,374
2014-05-11,275
2014-05-12,572
2014-05-13,528
2014-05-14,528
2014-05-15,550
2014-05-16,605
2014-05-17,429
2014-05-18,341
2014-05-19,649
2014-05-20,704
2014-05-21,473
2014-05-22,682
2014-05-23,550
2014-05-24,418
2014-05-25,341
2014-05-26,660
2014-05-27,506
2014-05-28,517
2014-05-29,418
2014-05-30,352
2014-05-31,253
2014-06-01,308
2014-06-02,462
2014-06-03,561
2014-06-04,704
2014-06-05,495
2014-06-06,539
2014-06-07,550
2014-06-08,396
2014-06-09,770
2014-06-10,528
2014-06-11,528
2014-06-12,495
2014-06-13,528
2014-06-14,429
2014-06-15,352
2014-06-16,484
2014-06-17,539
2014-06-18,605
2014-06-19,308
2014-06-20,484
2014-06-21,319
2014-06-22,198
2014-06-23,374
2014-06-24,352
2014-06-25,429
2014-06-26,417
2014-06-27,418
2014-06-28,363
2014-06-29,275
2014-06-30,451
2014-07-01,429
2014-07-02,319
2014-07-03,473
2014-07-04,286
2014-07-05,319
2014-07-06,352
2014-07-07,473
2014-07-08,396
2014-07-09,505
2014-07-10,275
2014-07-11,330
2014-07-12,341
2014-07-13,286
2014-07-14,494
2014-07-15,451
2014-07-16,616
2014-07-17,504
2014-07-18,407
2014-07-19,297
2014-07-20,286
2014-07-21,473
2014-07-22,484
2014-07-23,561
2014-07-24,550
2014-07-25,418
2014-07-26,352
2014-07-27,319
2014-07-28,561
2014-07-29,440
2014-07-30,484
2014-07-31,462
2014-08-01,505
2014-08-02,286
2014-08-03,396
2014-08-04,670
2014-08-05,571
2014-08-06,440
2014-08-07,418
2014-08-08,539
2014-08-09,297
2014-08-10,297
2014-08-11,660
2014-08-12,638
2014-08-13,603
2014-08-14,484
2014-08-15,484
2014-08-16,506
2014-08-17,286
2014-08-18,528
2014-08-19,616
2014-08-20,627
2014-08-21,495
2014-08-22,802
2014-08-23,583
2014-08-24,395
2014-08-25,593
2014-08-26,594
2014-08-27,626
2014-08-28,472
2014-08-29,561
2014-08-30,374
2014-08-31,319
2014-09-01,440
2014-09-02,604
2014-09-03,407
2014-09-04,363
2014-09-05,451
2014-09-06,385
2014-09-07,385
2014-09-08,451
2014-09-09,571
2014-09-10,671
2014-09-11,582
2014-09-12,527
2014-09-13,252
2014-09-14,374
2014-09-15,690
2014-09-16,506
2014-09-17,537
2014-09-18,483
2014-09-19,395
2014-09-20,406
2014-09-21,286
2014-09-22,560
2014-09-23,493
2014-09-24,524
2014-09-25,517
2014-09-26,328
2014-09-27,186
2014-09-28,231
2014-09-29,417
2014-09-30,545
2014-10-01,469
2014-10-02,415
2014-10-03,450
