objectid,data,estação,estacao_nome,poluente,classificação,iqar,codnum
59448,2017/01/25 03:00:00+00,SC,São Cristóvão,O3,Regular,80,7
59449,2017/01/25 03:00:00+00,SP,Tijuca,O3,Regular,69,8
59450,2017/01/25 03:00:00+00,IR,Irajá,MP10,Boa,32,5
59451,2017/01/25 03:00:00+00,BG,Bangu,O3,Regular,89,2
59452,2017/01/25 03:00:00+00,CG,Campo Grande,O3,Regular,58,4
59453,2017/01/25 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,66,6
59454,2017/01/25 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,MP10,Regular,53,
59455,2017/01/26 03:00:00+00,CA,Centro,O3,Boa,45,3
59456,2017/01/26 03:00:00+00,AV,Copacabana,MP10,Regular,55,1
59457,2017/01/26 03:00:00+00,SC,São Cristóvão,O3,Regular,63,7
59458,2017/01/26 03:00:00+00,SP,Tijuca,O3,Regular,61,8
59459,2017/01/26 03:00:00+00,IR,Irajá,MP10,Boa,36,5
59460,2017/01/26 03:00:00+00,BG,Bangu,O3,Boa,50,2
59461,2017/01/26 03:00:00+00,CG,Campo Grande,O3,Boa,38,4
59462,2017/01/26 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,53,6
59463,2017/01/26 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,MP10,Regular,53,
59464,2017/01/27 03:00:00+00,CA,Centro,O3,Regular,53,3
59465,2017/01/27 03:00:00+00,AV,Copacabana,MP10,Regular,52,1
59466,2017/01/27 03:00:00+00,SC,São Cristóvão,O3,Regular,80,7
59467,2017/01/27 03:00:00+00,SP,Tijuca,O3,Regular,75,8
59468,2017/01/27 03:00:00+00,IR,Irajá,NO2,Boa,21,5
59469,2017/01/27 03:00:00+00,BG,Bangu,O3,Regular,88,2
59470,2017/01/27 03:00:00+00,CG,Campo Grande,O3,Regular,64,4
59471,2017/01/27 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,62,6
59472,2017/01/27 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,MP10,Regular,57,
59473,2017/01/28 03:00:00+00,CA,Centro,O3,Boa,46,3
59474,2017/01/28 03:00:00+00,AV,Copacabana,MP10,Regular,54,1
59475,2017/01/28 03:00:00+00,SC,São Cristóvão,O3,Regular,87,7
59476,2017/01/28 03:00:00+00,SP,Tijuca,O3,Regular,86,8
59477,2017/01/28 03:00:00+00,IR,Irajá,NO2,Boa,16,5
59478,2017/01/28 03:00:00+00,BG,Bangu,O3,Regular,99,2
59479,2017/01/28 03:00:00+00,CG,Campo Grande,O3,Regular,77,4
59480,2017/01/28 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,60,6
