data_dia,AQI,Qualidade_do_Ar
2015-12-15,44,N2 - Moderada
2015-12-16,38,N1 - Boa
2015-12-17,43,N2 - Moderada
2015-12-18,83,N3 - Ruim
2015-12-19,75,N2 - Moderada
2015-12-20,38,N1 - Boa
2015-12-21,51,N2 - Moderada
2015-12-22,41,N2 - Moderada
2015-12-23,37,N1 - Boa
2015-12-24,58,N2 - Moderada
2015-12-25,71,N2 - Moderada
2015-12-26,69,N2 - Moderada
2015-12-27,30,N1 - Boa
2015-12-28,25,N1 - Boa
2015-12-29,30,N1 - Boa
2015-12-30,32,N1 - Boa
2015-12-31,28,N1 - Boa
2016-01-01,62,N2 - Moderada
2016-01-02,20,N1 - Boa
2016-01-03,10,N1 - Boa
2016-01-04,21,N1 - Boa
2016-01-05,22,N1 - Boa
2016-01-06,22,N1 - Boa
2016-01-07,87,N3 - Ruim
2016-01-08,52,N2 - Moderada
2016-01-09,71,N2 - Moderada
2016-01-10,36,N1 - Boa
2016-01-11,36,N1 - Boa
2016-01-12,18,N1 - Boa
2016-01-13,31,N1 - Boa
2016-01-14,21,N1 - Boa
2016-01-15,17,N1 - Boa
2016-01-16,13,N1 - Boa
2016-01-17,21,N1 - Boa
2016-01-18,12,N1 - Boa
2016-01-19,12,N1 - Boa
2016-01-20,12,N1 - Boa
2016-01-21,15,N1 - Boa
2016-01-22,13,N1 - Boa
2016-01-23,15,N1 - Boa
2016-01-24,26,N1 - Boa
2016-01-25,26,N1 - Boa
2016-01-26,95,N3 - Ruim
2016-01-27,42,N2 - Moderada
2016-01-28,24,N1 - Boa
2016-01-29,26,N1 - Boa
2016-01-30,31,N1 - Boa
2016-01-31,32,N1 - Boa
2016-02-01,39,N1 - Boa
2016-02-02,35,N1 - Boa
2016-02-03,38,N1 - Boa
2016-02-04,32,N1 - Boa
2016-02-05,38,N1 - Boa
2016-02-06,31,N1 - Boa
2016-02-07,22,N1 - Boa
2016-02-08,35,N1 - Boa
2016-02-09,29,N1 - Boa
2016-02-10,36,N1 - Boa
2016-02-11,29,N1 - Boa
2016-02-12,18,N1 - Boa
2016-02-13,25,N1 - Boa
2016-02-14,30,N1 - Boa
2016-02-15,26,N1 - Boa
2016-02-16,39,N1 - Boa
2016-02-17,42,N2 - Moderada
2016-02-18,19,N1 - Boa
2016-02-19,26,N1 - Boa
2016-02-20,22,N1 - Boa
2016-02-21,18,N1 - Boa
2016-02-22,25,N1 - Boa
2016-02-23,26,N1 - Boa
2016-02-24,27,N1 - Boa
2016-02-25,31,N1 - Boa
2016-02-26,28,N1 - Boa
2016-02-27,24,N1 - Boa
2016-02-28,34,N1 - Boa
2016-02-29,29,N1 - Boa
2016-03-01,16,N1 - Boa
2016-03-02,21,N1 - Boa
2016-03-03,25,N1 - Boa
2016-03-04,31,N1 - Boa
2016-03-05,29,N1 - Boa
2016-03-06,53,N2 - Moderada
2016-03-07,28,N1 - Boa
2016-03-08,36,N1 - Boa
2016-03-09,33,N1 - Boa
2016-03-10,29,N1 - Boa
2016-03-11,34,N1 - Boa
2016-03-12,29,N1 - Boa
2016-03-13,18,N1 - Boa
2016-03-14,28,N1 - Boa
2016-03-15,23,N1 - Boa
2016-03-16,27,N1 - Boa
2016-03-17,22,N1 - Boa
2016-03-18,20,N1 - Boa
2016-03-19,29,N1 - Boa
2016-03-20,26,N1 - Boa
2016-03-21,30,N1 - Boa
2016-03-22,34,N1 - Boa
2016-03-23,47,N2 - Moderada
2016-03-24,22,N1 - Boa
2016-03-25,25,N1 - Boa
2016-03-26,32,N1 - Boa
2016-03-27,27,N1 - Boa
2016-03-28,38,N1 - Boa
2016-03-29,45,N2 - Moderada
2016-03-30,52,N2 - Moderada
2016-03-31,62,N2 - Moderada
2016-04-01,57,N2 - Moderada
2016-04-02,41,N2 - Moderada
2016-04-03,39,N1 - Boa
2016-04-04,32,N1 - Boa
2016-04-05,32,N1 - Boa
2016-04-06,33,N1 - Boa
2016-04-07,36,N1 - Boa
2016-04-08,55,N2 - Moderada
2016-04-09,55,N2 - Moderada
2016-04-10,48,N2 - Moderada
2016-04-11,39,N1 - Boa
2016-04-12,42,N2 - Moderada
2016-04-13,42,N2 - Moderada
2016-04-14,35,N1 - Boa
2016-04-15,67,N2 - Moderada
2016-04-16,64,N2 - Moderada
2016-04-17,31,N1 - Boa
2016-04-18,29,N1 - Boa
2016-04-19,35,N1 - Boa
2016-04-20,38,N1 - Boa
2016-04-21,53,N2 - Moderada
2016-04-22,54,N2 - Moderada
2016-04-23,76,N2 - Moderada
2016-04-24,42,N2 - Moderada
2016-04-25,48,N2 - Moderada
2016-04-26,50,N2 - Moderada
2016-04-27,60,N2 - Moderada
2016-04-28,23,N1 - Boa
2016-04-29,40,N1 - Boa
2016-04-30,27,N1 - Boa
2016-05-01,28,N1 - Boa
2016-05-02,37,N1 - Boa
2016-05-03,46,N2 - Moderada
2016-05-04,49,N2 - Moderada
2016-05-05,41,N2 - Moderada
2016-05-06,34,N1 - Boa
2016-05-07,44,N2 - Moderada
2016-05-08,48,N2 - Moderada
2016-05-09,47,N2 - Moderada
2016-05-10,83,N3 - Ruim
2016-05-11,53,N2 - Moderada
2016-05-12,22,N1 - Boa
2016-05-13,20,N1 - Boa
2016-05-14,21,N1 - Boa
2016-05-15,23,N1 - Boa
2016-05-16,37,N1 - Boa
2016-05-17,28,N1 - Boa
2016-05-18,17,N1 - Boa
2016-05-19,10,N1 - Boa
2016-05-20,8,N1 - Boa
2016-05-21,,
2016-05-22,,
2016-05-23,,
2016-05-24,,
2016-05-25,,
2016-05-26,,
2016-05-27,,
2016-05-28,,
2016-05-29,,
2016-05-30,,
2016-05-31,,
2016-06-01,,
2016-06-02,11,N1 - Boa
2016-06-03,17,N1 - Boa
2016-06-04,19,N1 - Boa
2016-06-05,22,N1 - Boa
2016-06-06,36,N1 - Boa
2016-06-07,13,N1 - Boa
2016-06-08,19,N1 - Boa
2016-06-09,38,N1 - Boa
2016-06-10,54,N2 - Moderada
2016-06-11,37,N1 - Boa
2016-06-12,43,N2 - Moderada
2016-06-13,37,N1 - Boa
2016-06-14,61,N2 - Moderada
2016-06-15,58,N2 - Moderada
2016-06-16,88,N3 - Ruim
2016-06-17,83,N3 - Ruim
2016-06-18,138,N4 - Muito Ruim
2016-06-19,59,N2 - Moderada
2016-06-20,35,N1 - Boa
2016-06-21,24,N1 - Boa
2016-06-22,24,N1 - Boa
2016-06-23,36,N1 - Boa
2016-06-24,34,N1 - Boa
2016-06-25,60,N2 - Moderada
2016-06-26,34,N1 - Boa
2016-06-27,32,N1 - Boa
2016-06-28,42,N2 - Moderada
2016-06-29,83,N3 - Ruim
2016-06-30,89,N3 - Ruim
2016-07-01,83,N3 - Ruim
2016-07-02,80,N2 - Moderada
2016-07-03,139,N4 - Muito Ruim
2016-07-04,45,N2 - Moderada
2016-07-05,64,N2 - Moderada
2016-07-06,55,N2 - Moderada
2016-07-07,44,N2 - Moderada
2016-07-08,45,N2 - Moderada
2016-07-09,54,N2 - Moderada
2016-07-10,74,N2 - Moderada
2016-07-11,103,N3 - Ruim
2016-07-12,85,N3 - Ruim
2016-07-13,70,N2 - Moderada
2016-07-14,60,N2 - Moderada
2016-07-15,91,N3 - Ruim
2016-07-16,85,N3 - Ruim
2016-07-17,27,N1 - Boa
2016-07-18,28,N1 - Boa
2016-07-19,48,N2 - Moderada
2016-07-20,64,N2 - Moderada
2016-07-21,42,N2 - Moderada
2016-07-22,37,N1 - Boa
2016-07-23,37,N1 - Boa
2016-07-24,48,N2 - Moderada
2016-07-25,52,N2 - Moderada
2016-07-26,91,N3 - Ruim
2016-07-27,78,N2 - Moderada
2016-07-28,34,N1 - Boa
2016-07-29,30,N1 - Boa
2016-07-30,29,N1 - Boa
2016-07-31,27,N1 - Boa
2016-08-01,28,N1 - Boa
2016-08-02,65,N2 - Moderada
2016-08-03,31,N1 - Boa
2016-08-04,24,N1 - Boa
2016-08-05,31,N1 - Boa
2016-08-06,47,N2 - Moderada
2016-08-07,60,N2 - Moderada
2016-08-08,31,N1 - Boa
2016-08-09,30,N1 - Boa
2016-08-10,30,N1 - Boa
2016-08-11,29,N1 - Boa
2016-08-12,23,N1 - Boa
2016-08-13,51,N2 - Moderada
2016-08-14,79,N2 - Moderada
2016-08-15,88,N3 - Ruim
2016-08-16,53,N2 - Moderada
2016-08-17,72,N2 - Moderada
2016-08-18,56,N2 - Moderada
2016-08-19,34,N1 - Boa
2016-08-20,46,N2 - Moderada
2016-08-21,38,N1 - Boa
2016-08-22,21,N1 - Boa
2016-08-23,32,N1 - Boa
2016-08-24,27,N1 - Boa
2016-08-25,28,N1 - Boa
2016-08-26,32,N1 - Boa
2016-08-27,40,N1 - Boa
2016-08-28,68,N2 - Moderada
2016-08-29,73,N2 - Moderada
2016-08-30,82,N3 - Ruim
2016-08-31,61,N2 - Moderada
2016-09-01,35,N1 - Boa
2016-09-02,45,N2 - Moderada
2016-09-03,46,N2 - Moderada
2016-09-04,30,N1 - Boa
2016-09-05,43,N2 - Moderada
2016-09-06,39,N1 - Boa
2016-09-07,34,N1 - Boa
2016-09-08,26,N1 - Boa
2016-09-09,22,N1 - Boa
2016-09-10,24,N1 - Boa
2016-09-11,36,N1 - Boa
2016-09-12,40,N1 - Boa
2016-09-13,37,N1 - Boa
2016-09-14,46,N2 - Moderada
2016-09-15,34,N1 - Boa
2016-09-16,29,N1 - Boa
2016-09-17,34,N1 - Boa
2016-09-18,76,N2 - Moderada
2016-09-19,35,N1 - Boa
2016-09-20,29,N1 - Boa
2016-09-21,23,N1 - Boa
2016-09-22,27,N1 - Boa
2016-09-23,34,N1 - Boa
2016-09-24,28,N1 - Boa
2016-09-25,21,N1 - Boa
2016-09-26,22,N1 - Boa
2016-09-27,17,N1 - Boa
2016-09-28,32,N1 - Boa
2016-09-29,33,N1 - Boa
2016-09-30,25,N1 - Boa
2016-10-01,18,N1 - Boa
2016-10-02,21,N1 - Boa
2016-10-03,24,N1 - Boa
2016-10-04,17,N1 - Boa
2016-10-05,23,N1 - Boa
2016-10-06,19,N1 - Boa
2016-10-07,25,N1 - Boa
2016-10-08,38,N1 - Boa
2016-10-09,29,N1 - Boa
2016-10-10,21,N1 - Boa
2016-10-11,30,N1 - Boa
2016-10-12,37,N1 - Boa
2016-10-13,39,N1 - Boa
2016-10-14,31,N1 - Boa
2016-10-15,51,N2 - Moderada
2016-10-16,52,N2 - Moderada
2016-10-17,67,N2 - Moderada
2016-10-18,62,N2 - Moderada
2016-10-19,58,N2 - Moderada
2016-10-20,43,N2 - Moderada
2016-10-21,36,N1 - Boa
2016-10-22,32,N1 - Boa
2016-10-23,22,N1 - Boa
2016-10-24,26,N1 - Boa
2016-10-25,27,N1 - Boa
2016-10-26,23,N1 - Boa
2016-10-27,37,N1 - Boa
2016-10-28,32,N1 - Boa
