data_dia,nome_estacao,codnum,ano,mes,dia,chuva,temp,ur,co,no,no2,nox,so2,o3,pm10,pm2_5,lat,lon,temp_min,temp_max,AQI,Qualidade_do_Ar
2012-03-13,ESTAÇÃO BANGU,2,2012,3,13,2.6,28.559,69.469,0.356,10.671,23.522,34.188,,42.166,25.5,,-22.888,-43.471,23.27,37.14,31,N1 - Boa
2012-03-14,ESTAÇÃO BANGU,2,2012,3,14,8.8,29.742,67.401,0.32,5.946,17.278,23.218,,34.548,19.833,,-22.888,-43.471,24.85,38.13,25,N1 - Boa
2012-03-15,ESTAÇÃO BANGU,2,2012,3,15,0.2,29.817,65.438,0.253,3.406,11.666,15.068,,49.877,17.333,,-22.888,-43.471,26.55,34.88,31,N1 - Boa
2012-03-16,ESTAÇÃO BANGU,2,2012,3,16,29.6,25.75,85.151,0.254,3.525,11.19,14.704,,49.604,13.667,,-22.888,-43.471,24.13,28.32,26,N1 - Boa
2012-03-17,ESTAÇÃO BANGU,2,2012,3,17,0.0,26.408,78.972,0.368,5.732,14.623,20.351,,18.943,19.875,,-22.888,-43.471,23.95,29.53,16,N1 - Boa
2012-03-18,ESTAÇÃO BANGU,2,2012,3,18,7.8,25.537,74.122,0.282,4.975,10.412,15.368,,21.688,14.146,,-22.888,-43.471,22.85,29.85,14,N1 - Boa
2012-03-19,ESTAÇÃO BANGU,2,2012,3,19,0.0,26.348,70.567,0.31,9.329,18.84,28.142,,19.155,25.271,,-22.888,-43.471,23.01,30.68,20,N1 - Boa
2012-03-20,ESTAÇÃO BANGU,2,2012,3,20,0.0,28.282,65.083,0.298,11.379,25.013,36.39,,26.588,32.125,,-22.888,-43.471,24.32,33.63,26,N1 - Boa
2012-03-21,ESTAÇÃO BANGU,2,2012,3,21,0.0,29.7,64.142,0.446,11.9,26.195,38.08,5.67,35.307,36.75,,-22.888,-43.471,24.17,36.78,34,N1 - Boa
2012-03-22,ESTAÇÃO BANGU,2,2012,3,22,0.0,31.885,57.721,0.416,9.815,27.121,36.919,3.694,31.251,37.646,,-22.888,-43.471,26.48,39.38,30,N1 - Boa
2012-03-23,ESTAÇÃO BANGU,2,2012,3,23,13.8,27.996,78.646,0.469,5.077,19.346,24.414,4.877,47.583,20.25,,-22.888,-43.471,24.16,34.05,26,N1 - Boa
2012-03-24,ESTAÇÃO BANGU,2,2012,3,24,8.0,28.362,80.029,0.465,4.824,17.155,21.98,0.913,45.722,16.208,,-22.888,-43.471,24.92,35.46,27,N1 - Boa
2012-03-25,ESTAÇÃO BANGU,2,2012,3,25,0.8,28.494,79.048,0.492,4.923,22.273,27.19,3.095,55.655,26.667,,-22.888,-43.471,24.91,34.31,56,N2 - Moderada
2012-03-26,ESTAÇÃO BANGU,2,2012,3,26,0.0,30.211,74.019,0.507,7.18,29.784,36.964,4.373,53.711,38.042,,-22.888,-43.471,26.52,35.44,71,N2 - Moderada
2012-03-27,ESTAÇÃO BANGU,2,2012,3,27,0.0,30.274,72.539,0.487,7.69,23.429,31.122,1.176,29.312,39.958,,-22.888,-43.471,26.4,36.33,35,N1 - Boa
2012-03-28,ESTAÇÃO BANGU,2,2012,3,28,11.4,26.455,82.981,0.343,3.828,10.148,13.95,0.98,41.082,18.271,,-22.888,-43.471,22.22,31.52,22,N1 - Boa
2012-03-29,ESTAÇÃO BANGU,2,2012,3,29,13.6,23.651,86.676,0.337,8.665,20.014,28.665,0.044,21.458,13.292,,-22.888,-43.471,21.61,27.17,12,N1 - Boa
2012-03-30,ESTAÇÃO BANGU,2,2012,3,30,0.0,26.625,76.835,0.495,18.021,27.033,45.054,1.076,18.819,27.958,,-22.888,-43.471,23.64,31.47,22,N1 - Boa
2012-03-31,ESTAÇÃO BANGU,2,2012,3,31,0.4,27.488,75.952,0.353,5.028,13.619,18.642,0.121,24.663,17.688,,-22.888,-43.471,24.87,32.68,15,N1 - Boa
2012-04-01,ESTAÇÃO BANGU,2,2012,4,1,0.0,26.407,75.106,0.375,5.466,14.688,20.122,0.093,26.772,20.458,,-22.888,-43.471,22.7,30.52,22,N1 - Boa
2012-04-02,ESTAÇÃO BANGU,2,2012,4,2,0.0,27.919,71.14,0.52,12.326,28.003,40.354,1.81,30.722,31.521,,-22.888,-43.471,23.32,34.64,31,N1 - Boa
2012-04-03,ESTAÇÃO BANGU,2,2012,4,3,0.0,29.061,72.758,0.462,7.804,27.637,35.441,3.943,45.104,43.396,,-22.888,-43.471,25.6,33.8,44,N2 - Moderada
2012-04-04,ESTAÇÃO BANGU,2,2012,4,4,0.0,29.856,68.702,0.513,13.906,32.91,46.819,2.225,36.732,47.417,,-22.888,-43.471,25.36,36.86,38,N1 - Boa
2012-04-05,ESTAÇÃO BANGU,2,2012,4,5,19.0,29.517,71.805,0.278,5.353,18.128,23.464,0.856,39.636,22.833,,-22.888,-43.471,23.91,36.36,26,N1 - Boa
2012-04-06,ESTAÇÃO BANGU,2,2012,4,6,0.0,29.341,70.357,0.402,4.208,17.088,21.28,1.142,39.625,28.333,,-22.888,-43.471,25.93,33.57,24,N1 - Boa
2012-04-07,ESTAÇÃO BANGU,2,2012,4,7,0.0,27.887,78.219,0.364,3.1,11.629,14.728,0.439,42.496,22.917,,-22.888,-43.471,25.66,31.95,22,N1 - Boa
2012-04-08,ESTAÇÃO BANGU,2,2012,4,8,0.0,29.256,70.092,0.378,4.635,17.25,21.878,0.386,49.454,28.375,,-22.888,-43.471,24.8,36.05,36,N1 - Boa
2012-04-09,ESTAÇÃO BANGU,2,2012,4,9,2.0,27.839,80.963,0.457,6.191,21.394,27.556,0.763,34.653,29.125,,-22.888,-43.471,24.55,31.2,27,N1 - Boa
2012-04-10,ESTAÇÃO BANGU,2,2012,4,10,0.0,27.415,77.048,0.395,20.435,29.043,49.476,1.909,22.307,26.208,,-22.888,-43.471,24.59,33.17,24,N1 - Boa
2012-04-11,ESTAÇÃO BANGU,2,2012,4,11,0.0,28.746,71.621,0.263,7.68,20.632,28.308,1.563,33.228,26.042,,-22.888,-43.471,25.22,33.34,29,N1 - Boa
