data_dia,target,no_t,no2_t,nox_t,o3_t,nox_x_o3_t,no_lag1,no_lag7,o3_lag1,o3_lag7,pm10_lag1,pm2_5_lag1,so2_lag12,no_ma60_s1,nox_ma60_s1,no2_ma30_s1,o3_ma150_s1,so2_ma150_s21,pm10_ma30_s1,pm2_5_ma7_s1
2018-12-25,144.0,1.3770263431576577,3.563026759957331,2.5771339574578485,6.344497352671443,16.350619570571,1.4494784269859882,1.772781142890426,8.442479202731112,10.056936297739572,3.1596580656598734,3.533825937536628,2.721478172247321,1.7711030988886385,2.954659714889635,4.5596538142958,8.176768545534602,2.1577560807449676,3.285470738059909,4.496359176416236
2018-12-26,274.0,1.932027454260354,4.195623775081147,2.984595903576217,5.374807129512422,16.04162734125502,1.3770263431576577,1.481572736607084,6.344497352671443,10.557131793347388,2.899874994981281,3.4818667590287875,2.8586784623851305,1.7596767329378928,2.943806060061727,4.5437690365778325,8.169466951188882,2.153410007863533,3.284037231903421,4.387747619714409
2018-12-27,248.0,1.916077216770488,4.275856795387007,2.9965171419615872,5.855292493835935,17.54548432897839,1.932027454260354,1.7480931783452496,5.374807129512422,8.54516935732629,2.8871468969435083,2.727180203937442,3.413652506538124,1.7624822140375898,2.945516884320644,4.539660069294936,8.158685848820987,2.145978894212382,3.2865863900305547,4.165248875836913
2018-12-28,234.0,1.7808228511122464,4.37982574546831,2.966379879449,7.2041827859699525,21.37034286417411,1.916077216770488,1.7523013859937433,5.855292493835935,8.208713169141934,2.931214290186767,2.8309301361957373,2.169955671947196,1.771276571465091,2.959055852053795,4.551186063982266,8.142961727618232,2.147583574072553,3.283313183179902,3.844354126333138
2018-12-29,171.0,1.527215551119323,4.0433120512426575,2.7821691197279064,8.331870827065524,23.180673724623514,1.7808228511122464,1.3871878762778205,7.2041827859699525,11.108799903339763,2.873808887168191,3.112389281627528,2.31301330941565,1.7671314420675877,2.9577907764217333,4.54890192067164,8.140558852348306,2.1453294807078978,3.276502898048689,3.583936435065655
2018-12-30,96.0,1.267893911681922,3.636857888344591,2.5750146639069937,9.026349849935134,23.24298322513766,1.527215551119323,1.2119523781933563,8.331870827065524,10.008041659629146,3.032383323866398,3.401628353732764,2.4890899937589945,1.7605051471098496,2.953675693626375,4.521877204000925,8.144478943831748,2.1409759992450588,3.2706573611280043,3.401963032496576
2018-12-31,156.0,1.3574886759908171,3.974384831166501,2.7162051983226885,9.473053853238392,25.730758120156896,1.267893911681922,1.4494784269859882,9.026349849935134,8.442479202731112,2.980216068688044,3.290233063486672,1.299913120524457,1.7487625430020113,2.9446839115374863,4.465584054869849,8.157528912294683,2.141727142541863,3.2518924453261393,3.1968648193636513
2019-01-01,252.0,1.3452462298352748,4.399736804418191,2.860361311057672,9.31946780296421,26.65704514324647,1.3574886759908171,1.3770263431576577,9.473053853238392,6.344497352671443,3.048345911444264,3.1631763601584817,2.402197712656653,1.7414389020634415,2.9409723235943774,4.4503365143377405,8.183223722705016,2.1417927713754565,3.2537649422569133,3.1439148797382015
2019-01-02,228.0,1.65898429850861,4.587411983741662,2.988344164472396,10.121060154279968,30.24521105031663,1.3452462298352748,1.932027454260354,9.31946780296421,5.374807129512422,3.651727480466183,6.548297228386391,3.143724942632625,1.7385780759930516,2.9451447997927507,4.470572578684229,8.199321615907495,2.132597845081643,3.2789601987739814,3.581976375360717
2019-01-03,222.0,1.7137765397666365,4.597687867171111,3.006816562163812,8.792489770205055,26.43740386370845,1.65898429850861,1.916077216770488,10.121060154279968,5.855292493835935,3.2573776777546617,4.447940889756028,2.3423124888625497,1.7377491262133586,2.946410119129727,4.49471464291993,8.20882661821941,2.123808001172257,3.2896836023891587,3.8277993304776574
2019-01-04,210.0,1.6121323536356709,4.113304505663487,2.829794223517563,8.877575273364751,25.12171122740992,1.7137765397666365,1.7808228511122464,8.792489770205055,7.2041827859699525,3.1026283037433258,3.024915636667495,1.840891639673159,1.741713405390884,2.9553350349608483,4.495790740306753,8.218264925088466,2.127239561838167,3.2882541746189995,3.8555115448307657
2019-01-05,222.0,1.5585988801941972,4.028596723386809,2.7866412592391088,8.809028444468167,24.5476021171659,1.6121323536356709,1.527215551119323,8.877575273364751,8.331870827065524,2.8618212970412915,2.823241250949408,1.7836748783537582,1.7395586669970622,2.957149583321156,4.481195782893994,8.241588802687245,2.1241590162741972,3.2718683009043548,3.81420468330532
2019-01-06,168.0,1.4744259497457102,4.352886696761234,2.8698452409636697,9.082108728043726,26.064246511090897,1.5585988801941972,1.267893911681922,8.809028444468167,9.026349849935134,2.686802568889269,2.8309301361957373,1.7388942653923405,1.7350257642964486,2.956203135237998,4.482972483132977,8.261668255485832,2.1159102160608207,3.2529919846213398,3.732676366514316
2019-01-07,144.0,1.8357994469191752,4.8548915094311695,3.117561825093844,9.311076112834098,29.027855439914767,1.4744259497457102,1.3574886759908171,9.082108728043726,9.473053853238392,3.0304833052937474,3.5846660683590232,1.8609767249336504,1.729625437810983,2.9570948923522096,4.47133570208798,8.281939814119136,2.10981563784576,3.2510997106566943,3.7747382243532237
2019-01-08,240.0,1.788804425537072,4.926558727056277,3.1229272939911965,8.979160474434563,28.04126532273864,1.8357994469191752,1.3452462298352748,9.311076112834098,9.31946780296421,3.411219282284605,4.29728315633443,1.801179869634291,1.7262528345754429,2.958053995760923,4.497872383962899,8.287952539918484,2.1054383496963864,3.2742004892318537,3.9367534809497875
2019-01-09,222.0,1.6185558053707416,4.626346351777645,2.989722638935902,9.031115228577647,27.000529653717376,1.788804425537072,1.65898429850861,8.979160474434563,10.121060154279968,3.250355757509359,4.008993081232635,1.3944946970221748,1.723936656849034,2.9602911590552887,4.531353059846092,8.284495594511386,2.103763099383678,3.2787088251911416,3.573995745642108
